theta_cm_deg,fresco_mb_sr,scaled_mb_sr
40.1,0.03729,0.004456089186
40.2,0.03753,0.004484768763
40.3,0.03778,0.004514643321
40.4,0.03801,0.004542127915
40.5,0.03824,0.00456961251
40.6,0.03846,0.004595902121
40.7,0.03868,0.004622191733
40.8,0.03889,0.004647286362
40.9,0.03909,0.004671186009
41,0.03928,0.004693890674
41.1,0.03946,0.004715400356
41.2,0.03964,0.004736910039
41.3,0.0398,0.004756029756
41.4,0.03996,0.004775149474
41.5,0.04011,0.004793074209
41.6,0.04024,0.00480860898
41.7,0.04037,0.00482414375
41.8,0.04049,0.004838483538
41.9,0.04059,0.004850433362
42,0.04069,0.004862383185
42.1,0.04078,0.004873138027
42.2,0.04085,0.004881502903
42.3,0.04091,0.004888672797
42.4,0.04097,0.004895842691
42.5,0.04101,0.004900622621
42.6,0.04104,0.004904207568
42.7,0.04106,0.004906597532
42.8,0.04107,0.004907792515
42.9,0.04107,0.004907792515
43,0.04105,0.00490540255
43.1,0.04103,0.004903012585
43.2,0.04099,0.004898232656
43.3,0.04095,0.004893452727
43.4,0.04089,0.004886282832
43.5,0.04082,0.004877917956
43.6,0.04074,0.004868358097
43.7,0.04064,0.004856408274
43.8,0.04054,0.00484445845
43.9,0.04043,0.004831313644
44,0.0403,0.004815778874
44.1,0.04017,0.004800244103
44.2,0.04002,0.004782319368
44.3,0.03986,0.00476319965
44.4,0.03969,0.00474288495
44.5,0.03952,0.00472257025
44.6,0.03933,0.004699865586
44.7,0.03913,0.004675965939
44.8,0.03892,0.004650871309
44.9,0.0387,0.004624581698
45,0.03848,0.004598292086
45.1,0.03824,0.00456961251
45.2,0.03799,0.004539737951
45.3,0.03774,0.004509863392
45.4,0.03747,0.004477598869
45.5,0.0372,0.004445334345
45.6,0.03692,0.004411874839
45.7,0.03663,0.004377220351
45.8,0.03634,0.004342565863
45.9,0.03603,0.00430552141
46,0.03572,0.004268476957
46.1,0.0354,0.004230237522
46.2,0.03508,0.004191998087
46.3,0.03474,0.004151368687
